date,open,close,low,high,volume,change,h1,h2,h3,dea,dif,macd,k,d,j,qsddS,qsddM,qsddL,wrS,wrM,wrL,label1
2009-10-21,3080.52,3070.59,3062.56,3105.51,135482768,-0.004493507756650189,3021.348,2930.48,2888.098,-3.973,24.296,56.537,89.895,83.266,103.153,91.119,89.387,54.494,91.119,85.104,51.396,3051.41
2009-10-22,3068.68,3051.41,3045.03,3080.66,103031488,-0.006246356563396706,3029.937,2940.949,2891.095,2.526,28.522,51.993,85.012,83.848,87.34,86.241,92.241,56.505,86.241,88.384,49.108,3107.85
2009-10-23,3057.39,3107.85,3057.39,3123.46,138600896,0.018496367253171504,3052.198,2952.659,2895.072,9.223,36.011,53.576,87.808,85.168,93.087,96.203,93.922,59.571,96.203,96.773,55.841,3109.57
2009-10-26,3114.29,3109.57,3083.18,3123.36,114826120,5.534372637032852E-4,3068.59,2964.862,2899.008,15.7,41.605,51.812,89.455,86.597,95.17,96.622,94.042,62.604,96.622,97.128,56.047,3021.46
2009-10-27,3086.09,3021.46,3020.49,3086.09,120886752,-0.028335107426428773,3055.124,2974.364,2901.255,20.257,38.485,36.457,75.219,82.804,60.048,71.647,91.827,64.946,75.192,78.913,45.535,3031.33
2009-10-28,3014.18,3031.33,2974.26,3038.06,100973136,0.003266632687508652,3048.326,2982.149,2903.641,23.483,36.39,25.813,67.446,77.685,46.968,68.103,88.609,67.576,77.593,80.953,46.713,2960.47
2009-10-29,2975.2,2960.47,2952.01,2993.44,110282232,-0.02337587791497466,3023.224,2986.473,2904.684,24.523,28.681,8.316,46.609,67.326,5.174,31.082,82.708,69.068,60.358,66.303,38.259,2995.85
2009-10-30,3007.25,2995.85,2983.93,3027.13,104792184,0.011950805108648327,3015.403,2989.518,2906.357,24.645,25.136,0.981,39.596,58.083,2.622,46.042,74.635,71.043,68.963,73.618,42.48,3076.65
2009-11-02,2933.82,3076.65,2923.52,3077.91,137286112,0.02697064272243276,3032.902,2994.085,2909.481,25.42,28.518,6.196,51.927,56.031,43.718,76.588,72.499,74.65,88.615,90.323,52.119,3114.23
2009-11-03,3085.74,3114.23,3078.94,3121.2,150552256,0.01221458404433391,3056.139,3000.617,2913.238,27.104,33.841,13.473,66.412,59.491,80.254,95.384,76.403,78.612,97.434,98.092,56.602,3128.54
2009-11-04,3119.31,3128.54,3096.35,3141.45,145370272,0.004595036333218788,3076.825,3008.639,2917.189,29.437,38.767,18.66,75.634,64.872,97.157,94.076,83.502,82.265,95.792,97.427,58.31,3155.05
